"No.","Time","Source","Destination","Protocol","Length","Info"
"38","0.058038","fe80::1ce2:fc62:2678:d405","ff02::fb","MDNS","194","Standard query response 0x0000 PTR, cache flush nmal-M3-14.local NSEC, cache flush 0.1.7.E.C.2.A.4.4.B.1.A.8.1.8.1.6.1.0.1.0.0.1.2.0.9.6.0.1.0.0.2.ip6.arpa"
"39","0.058241","194.210.222.235","224.0.0.251","MDNS","87","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"40","0.058407","fe80::b211:62e6:9504:22d7","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"41","0.058600","fe80::b211:62e6:9504:22d7","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"42","0.058825","fe80::b211:62e6:9504:22d7","ff02::fb","MDNS","107","Standard query 0x0000 PTR _spotify-connect._tcp.local, ""QM"" question"
"43","0.059037","194.210.222.142","194.210.223.255","NBNS","92","Name query NB BRWA8934A2177F6<00>"
"44","0.059329","fe80::a17f:f8ba:3694:8c49","ff02::1:3","LLMNR","95","Standard query 0x5461 A BRWA8934A2177F6"
"45","0.059512","194.210.222.142","224.0.0.252","LLMNR","75","Standard query 0x5461 A BRWA8934A2177F6"
"46","0.059590","194.210.222.83","224.0.0.251","MDNS","369","Standard query response 0x0000 PTR Spotify Desktop Launcher(13)._spotify-connect._tcp.local SRV 0 0 49910 LAPTOP-OKNU26D6.local A 194.210.222.83 AAAA 2001:690:2100:1016:2890:b71c:5b5:c5c1 AAAA 2001:690:2100:1016:8c0e:9b2:3911:84c7 AAAA fe80::2890:b71c:5b5:c5c1"
"47","0.059740","fe80::2890:b71c:5b5:c5c1","ff02::fb","MDNS","389","Standard query response 0x0000 PTR Spotify Desktop Launcher(13)._spotify-connect._tcp.local SRV 0 0 49910 LAPTOP-OKNU26D6.local A 194.210.222.83 AAAA 2001:690:2100:1016:2890:b71c:5b5:c5c1 AAAA 2001:690:2100:1016:8c0e:9b2:3911:84c7 AAAA fe80::2890:b71c:5b5:c5c1"
"48","0.059901","fe80::2890:b71c:5b5:c5c1","ff02::fb","MDNS","389","Standard query response 0x0000 PTR Spotify Desktop Launcher(13)._spotify-connect._tcp.local SRV 0 0 49910 LAPTOP-OKNU26D6.local A 194.210.222.83 AAAA 2001:690:2100:1016:2890:b71c:5b5:c5c1 AAAA 2001:690:2100:1016:8c0e:9b2:3911:84c7 AAAA fe80::2890:b71c:5b5:c5c1"
"49","0.060042","fe80::2890:b71c:5b5:c5c1","ff02::fb","MDNS","389","Standard query response 0x0000 PTR Spotify Desktop Launcher(13)._spotify-connect._tcp.local SRV 0 0 49910 LAPTOP-OKNU26D6.local A 194.210.222.83 AAAA 2001:690:2100:1016:2890:b71c:5b5:c5c1 AAAA 2001:690:2100:1016:8c0e:9b2:3911:84c7 AAAA fe80::2890:b71c:5b5:c5c1"
"50","0.060188","fe80::8de2:7e30:a98e:d731","ff02::fb","MDNS","389","Standard query response 0x0000 PTR Spotify Desktop Launcher(17)._spotify-connect._tcp.local SRV 0 0 51321 Mora.local TXT A 194.210.234.7 AAAA 2001:690:2100:1016:4240:3ef4:28e7:178 AAAA 2001:690:2100:1016:817b:4d05:40e9:855d AAAA fe80::8de2:7e30:a98e:d731"
"51","0.060965","fe80::8de2:7e30:a98e:d731","ff02::fb","MDNS","389","Standard query response 0x0000 PTR Spotify Desktop Launcher(17)._spotify-connect._tcp.local SRV 0 0 51321 Mora.local TXT A 194.210.234.7 AAAA 2001:690:2100:1016:4240:3ef4:28e7:178 AAAA 2001:690:2100:1016:817b:4d05:40e9:855d AAAA fe80::8de2:7e30:a98e:d731"
